es,chord_port,probe_port,z_chord_cm,z_probe_cm,window,L_probe_cm2,L_chord_cm2,ratio,te_used_ev,te_implied_ev,te_semiquant_fraction,te_sigma_sys_ev,pull,n_edge_left_over_axis,n_edge_right_over_axis,te_row_measured_fraction
2,20,21,757.6,789.55,15.875ms,4.14663e+14,3.64232e+14,1.13846,6.22037,8.06216,0.215686,1.75509,-1.0494,-0.0204357,0.0392245,1
2,20,21,757.6,789.55,16.375ms,4.14807e+14,3.6268e+14,1.14373,6.16318,8.06215,0.215686,1.7408,-1.09086,-0.096754,-0.0669061,1
2,20,21,757.6,789.55,16.875ms,4.14359e+14,3.60887e+14,1.14817,6.16756,8.13063,0.215686,1.74189,-1.12697,-0.0244228,-0.0159314,1
2,20,21,757.6,789.55,17.375ms,4.1443e+14,3.59242e+14,1.15362,6.15193,8.18728,0.215686,1.73798,-1.1711,-0.0690824,0.00586054,1
2,20,21,757.6,789.55,17.875ms,4.14826e+14,3.57667e+14,1.15981,6.1132,8.22323,0.215686,1.7283,-1.22087,-0.110602,0.0456037,1
2,20,21,757.6,789.55,18.375ms,4.12471e+14,3.56149e+14,1.15814,6.14042,8.23611,0.215686,1.73511,-1.20782,0.00944575,-0.0970918,1
2,20,21,757.6,789.55,18.875ms,4.12572e+14,3.54634e+14,1.16337,6.15783,8.33425,0.215686,1.73946,-1.2512,-0.0294615,-0.0646327,1
2,20,21,757.6,789.55,19.375ms,4.13316e+14,3.53172e+14,1.1703,6.10948,8.36753,0.215686,1.72737,-1.30721,-0.125171,0.00935477,1
2,29,29,1045.15,1045.15,15.000-19.500ms,4.62717e+14,3.95004e+14,1.17142,4.65791,6.39173,0.254902,1.36448,-1.27069,0.0777286,0.234387,1
2,29,29,1045.15,1045.15,15.375ms,4.66182e+14,4.02273e+14,1.15887,4.63994,6.23135,0.254902,1.35999,-1.17016,0.129368,0.236607,1
2,29,29,1045.15,1045.15,15.875ms,4.65614e+14,4.00436e+14,1.16277,4.64366,6.27837,0.254902,1.36091,-1.20119,0.136565,0.162824,1
2,29,29,1045.15,1045.15,16.375ms,4.63499e+14,3.98613e+14,1.16278,4.65857,6.29865,0.254902,1.36464,-1.20183,0.0746863,0.302204,1
2,29,29,1045.15,1045.15,16.875ms,4.63573e+14,3.96675e+14,1.16865,4.65913,6.36314,0.254902,1.36478,-1.24856,0.120918,0.307388,1
2,29,29,1045.15,1045.15,17.375ms,4.65293e+14,3.94809e+14,1.17853,4.60643,6.39797,0.254902,1.35161,-1.32549,0.0437311,0.221036,1
