experiment_set,port,rot0_run,rot180_run,I0_core_uA,I0_int_mAcm,I0_peak_x_cm,I180_core_uA,I180_int_mAcm,I180_peak_x_cm,S0_core_uA,S0_int_mAcm,S0_peak_x_cm,S180_core_uA,S180_int_mAcm,S180_peak_x_cm,I180_over_I0_core,S180_over_S0_core,S180_over_I0_core,I180_over_S0_core,S0_over_I0_core,I180_over_S180_core,I180_over_I0_int,S180_over_S0_int,S180_over_I0_int,I180_over_S0_int
2,21,22,23,74881.02835848673,2445.430792732667,0.0,32058.813634531918,1120.4170487266815,5.0,31520.951242946434,1190.1332088031438,13.0,72397.35013725447,2551.212001979546,-1.0,0.42812998615688075,2.296800930252862,0.9668316758506327,1.0170636472053123,0.4209470934619446,0.4428175005542777,0.4581675556128342,2.1436356729724144,1.0432566767218436,0.9414215488142103
2,29,24,25,66121.2291676894,2129.5470695904196,6.0,17761.503502868632,779.2547606742127,7.0,18769.689924129918,771.058917047248,6.0,68611.16168835294,2217.0731611067445,0.0,0.26862028619921535,3.655423289659563,1.037657081575856,0.9462864636903148,0.2838678312607936,0.2588719250017265,0.3659251170363135,2.8753615477231937,1.041100801558314,1.0106293351205256
2,41,26,27,72222.4813874563,2221.5271374189983,-2.0,18816.74947427913,594.3583278135085,5.0,17437.894213999447,624.0272901310864,6.0,72048.78818156474,2214.0769571523433,-2.0,0.2605386731775634,4.1317367393892495,0.9975950257793036,1.079072349181515,0.24144689962186877,0.2611667725328073,0.2675449324035908,3.5480450809887545,0.9966463699042134,0.9524556653422233
4,21,42,43,34868.030148692094,1044.1203047981885,-1.0,13548.55098839636,487.980468597212,-14.0,16707.45299713803,617.0162318839307,-1.0,61521.00388846702,1806.244802393988,-2.0,0.388566573179488,3.682249107569269,1.7643957409155413,0.8109285712620119,0.4791625143689033,0.22022642889506275,0.4673603859198301,2.927386200001571,1.7299201960669712,0.7908713634765574
4,29,44,45,15201.14770549129,435.0801772442504,0.0,6160.770010044966,203.08099687559007,-12.0,9495.52261395507,309.2865075764685,-11.0,18088.097070122487,552.9319449752436,-1.0,0.40528321475485946,1.9049080082795402,1.1899165392352782,0.6488078919417037,0.6246582690940429,0.34059801792092254,0.46676683401639346,1.7877661373202185,1.2708736777608514,0.6566112387730977
4,41,46,47,2461.356884792753,64.65233083785115,-2.0,838.1176623302957,25.376464161722833,6.0,1452.069634916048,45.57294009580154,-10.0,3516.71337582638,93.6157577214379,-1.0,0.34051041826096884,2.4218627614437374,1.4287702029535176,0.5771883401299497,0.5899468069370658,0.2383241318702436,0.39250656291676966,2.0541961419351646,1.4479873580463385,0.5568318416230659
